"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  5 år";"Snitt 5 år";"Senaste";"Senaste";"Senaste";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"År. tillv. 5 år";"Senaste"
"24SevenOffice";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";247;"Aktier";"Q1-2018";"";"";-2384.615;16.34289;12.88171;292.2518;"";53.349;"";-0.0026;"";"";330.7638
"2cureX";"Sverige";"First North";"Hälsovård";"Läkemedel";"2CUREX";"Aktier";"Q1-2018";"";"";-12.66036;15.35517;3.26124;35.6003;"";10.35;"";-0.5924;"";"";77.625
"A Group of Retail";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AGORA B";"Aktier";"Q1-2018";"";"";24.2581;1.512282;0.4264593;3415.425;"";30.783;"";0.8121;"";"";606.4251
"A Group of Retail Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AGORA PREF";"Pref";"Q4-2017";"";"";"";"";"";248;"";1;"";"";"";"";248
"A.P. Moller Maersk A";"Denmark";"Large Cap";"Industri";"Handel & Distribution";"MAERSK A";"Pref";"Q1-2018";0.1916836;544.2;23.86974;1.002286;0.9272423;248891.1;0.01303315;20.788;0.01601244;393.8041;4026.928;-0.1489285;195407.2
"A.P. Moller Maersk B";"Denmark";"Large Cap";"Industri";"Handel & Distribution";"MAERSK B";"Aktier";"Q1-2018";0.2190834;544.2;25.533;1.072127;0.9918534;262507.2;0.01303315;20.788;0.01601244;393.8041;4026.928;-0.1489285;209023.3
"A1M Pharma";"Sverige";"First North";"Hälsovård";"Sjukvård";"A1M";"Aktier";"Q1-2018";-0.9697115;"";-0.5004888;"";1.499279;29.23137;-2.02217;8.297;-1.541336;-8.0821;-49.305;"";33.56136
"A3 Allmänna IT- och Telekom";"Sverige";"Small Cap";"Telekommunikation";"Telekommunikationstjänster";"ATRE";"Aktier";"Q1-2018";-0.2549505;1.2;67.73177;0.5772797;2.033397;540.5649;0.001760206;32.857;-0.0006524734;0.2222;39.1452;-0.3433491;494.4979
"AaB";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AAB";"Aktier";"Q4-2017";-0.3089636;"";4.33614;0.8749138;0.4924812;-9.5172;"";0.3333;"";38.2829;"";"";55.3278
