Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
24SevenOffice;Sverige;Aktietorget;Informationsteknik;Programvara & Internet;247;Aktier;Q1-2018;;;;;-2384.615;16.34289;12.88171;292.2518;38135.74;-0.01651982;;;;;;;-0.564;330.7638;53.349;-0.0026;0.000462968;62.33687
2cureX;Sverige;First North;Hälsovård;Läkemedel;2CUREX;Aktier;Q1-2018;;;;;-12.66036;15.35517;3.26124;35.6003;16679.45;-0.1645969;;;-6.474583;;;;1.5169;77.625;10.35;-0.5924;0.000955625;57.02845
A Group of Retail;Sverige;First North;Finans & Fastighet;Fastigheter;AGORA B;Aktier;Q1-2018;;;;;24.2581;1.512282;0.4264593;3415.425;1680.86;0.03684283;;;0.01214049;;-0.3700459;;-35.33333;606.4251;30.783;0.8121;4.01E-05;46.59098
A Group of Retail Pref;Sverige;First North;Finans & Fastighet;Fastigheter;AGORA PREF;Pref;Q4-2017;;;;20;;;;248;393.8;;;;;;;;;248;1;;;19.9981
A.P. Moller Maersk A;Denmark;Large Cap;Industri;Handel & Distribution;MAERSK A;Pref;Q1-2018;0.1916836;-0.2679128;544.2;150;23.86974;1.002286;0.9272423;248891.1;7087.73;-0.02027967;0.01601244;0.01303315;-0.01366217;-0.1489285;0.1586868;4026.928;-13522.73;195407.2;20.788;393.8041;0.000384278;30.83322
A.P. Moller Maersk B;Denmark;Large Cap;Industri;Handel & Distribution;MAERSK B;Aktier;Q1-2018;0.2190834;-0.2417044;544.2;150;25.533;1.072127;0.9918534;262507.2;34661.45;-0.02027967;0.01601244;0.01303315;-0.01366217;-0.1489285;0.1586868;4026.928;-13522.73;209023.3;20.788;393.8041;0.001642483;32.28584
A1M Pharma;Sverige;First North;Hälsovård;Sjukvård;A1M;Aktier;Q1-2018;-0.9697115;-0.9764826;;;-0.5004888;;1.499279;29.23137;48528.28;-2.276169;-1.541336;-2.02217;-2.908056;;;-49.305;-64.385;33.56136;8.297;-8.0821;0.007644213;87.8837
A3 Allmänna IT- och Telekom;Sverige;Small Cap;Telekommunikation;Telekommunikationstjänster;ATRE;Aktier;Q1-2018;-0.2549505;-0.2437186;1.2;1.333333;67.73177;0.5772797;2.033397;540.5649;11663.16;0.06605127;-0.000652473;0.001760206;0.05368561;-0.3433491;;39.1452;45.55367;494.4979;32.857;0.2222;0.000432129;37.40332
AaB;Denmark;Small Cap;Sällanköpsvaror;Hotell, restaurang & nöje;AAB;Aktier;Q4-2017;-0.3089636;-0.2481884;;;4.33614;0.8749138;0.4924812;-9.5172;216.04;0.06328485;;;0.07399143;;;;-20.80467;55.3278;0.3333;38.2829;;22.22182
