10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
470.85%;136.68%;31.07%;0.256;{'fcfy': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
468.00%;133.83%;29.49%;-0.21;{'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
464.94%;130.76%;30.05%;-0.067;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
458.29%;124.11%;30.38%;0.097;{'roe': 0.2, 'revenue_growth': 0.8}
451.91%;117.74%;31.32%;-0.097;{'fcfy': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.2}
443.58%;109.41%;29.59%;0.097;{'roe': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
439.94%;105.77%;31.50%;-0.144;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.7}
434.52%;100.34%;31.18%;-0.085;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.8}
431.92%;97.74%;32.75%;-0.2;{'roe': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
428.51%;94.34%;31.79%;0.143;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
426.30%;92.13%;32.60%;0.102;{'revenue_growth': 0.5, 'dividend_yield': 0.5}
421.91%;87.73%;29.75%;-0.315;{'fcfy': 0.1, 'revenue_growth': 0.9}
414.94%;80.77%;31.58%;-0.432;{'roic_wacc': 0.1, 'revenue_growth': 0.9}
413.59%;79.42%;29.21%;-0.096;{'fcfy': 0.2, 'revenue_growth': 0.8}
413.39%;79.22%;31.10%;0.233;{'roe': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.2}
408.88%;74.71%;27.54%;-1.745;{'fcfy': 0.5, 'revenue_growth': 0.5}
404.40%;70.23%;31.57%;-1.859;{'fcfy': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
402.47%;68.30%;30.57%;-0.247;{'roe': 0.1, 'revenue_growth': 0.8, 'dividend_yield': 0.1}
