10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
567.52%;233.34%;27.85%;-0.381;{'roic_wacc': 0.1, 'revenue_growth': 0.9}
535.25%;201.07%;27.17%;-0.381;{'roic_wacc': 0.1, 'revenue_growth': 0.8, 'dividend_yield': 0.1}
479.22%;145.05%;25.95%;0.196;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
449.62%;115.44%;28.27%;-0.302;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
449.56%;115.39%;31.37%;-1.859;{'fcfy': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
446.01%;111.84%;28.22%;-0.437;{'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.2}
434.33%;100.16%;28.44%;-0.068;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
434.30%;100.12%;27.36%;0.278;{'roe': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.2}
432.31%;98.14%;26.51%;-0.03;{'fcfy': 0.1, 'revenue_growth': 0.9}
431.09%;96.92%;27.55%;-0.122;{'roe': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
422.14%;87.97%;27.80%;-0.358;{'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
419.12%;84.94%;27.14%;-0.122;{'roe': 0.2, 'revenue_growth': 0.8}
418.73%;84.56%;28.58%;-0.149;{'fcfy': 0.2, 'revenue_growth': 0.8}
411.58%;77.40%;26.93%;-1.745;{'fcfy': 0.5, 'revenue_growth': 0.5}
411.43%;77.26%;28.62%;-0.462;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
406.69%;72.52%;28.86%;-0.18;{'roe': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
406.06%;71.89%;26.26%;0.055;{'roe': 0.1, 'revenue_growth': 0.8, 'dividend_yield': 0.1}
402.36%;68.18%;26.85%;0.055;{'roe': 0.1, 'revenue_growth': 0.9}
