10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
523.53%;383.96%;73.06%;1.613;0.453;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
448.07%;308.49%;55.39%;1.403;0.395;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.4}
445.86%;306.28%;64.86%;1.429;0.454;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
437.70%;298.13%;55.36%;1.357;0.408;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
430.24%;290.67%;59.71%;1.272;0.469;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
419.40%;279.83%;69.59%;1.333;0.522;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
416.97%;277.39%;61.36%;1.284;0.478;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
416.24%;276.67%;42.27%;1.279;0.33;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
413.40%;273.83%;50.72%;1.225;0.414;{'roic_wacc': 0.5, 'revenue_growth': 0.5}
408.36%;268.78%;42.67%;1.354;0.315;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
406.55%;266.98%;49.67%;1.333;0.372;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.3}
406.12%;266.54%;50.10%;1.267;0.395;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
400.57%;261.00%;48.12%;1.312;0.367;{'roe': 0.3, 'revenue_growth': 0.7}
399.07%;259.50%;50.86%;1.302;0.391;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
390.23%;250.66%;65.14%;1.228;0.531;{'fcfy': 0.5, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
385.90%;246.33%;46.61%;1.248;0.374;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
383.20%;243.63%;43.11%;1.211;0.356;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
382.73%;243.16%;50.75%;1.198;0.424;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
382.27%;242.70%;62.91%;1.287;0.489;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
381.34%;241.76%;49.80%;1.183;0.421;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
380.99%;241.42%;64.54%;1.214;0.532;{'fcfy': 0.6, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
380.94%;241.36%;53.38%;1.18;0.452;{'roic_wacc': 0.6, 'revenue_growth': 0.4}
379.59%;240.02%;40.95%;1.224;0.334;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.4}
376.99%;237.42%;51.77%;1.177;0.44;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
376.33%;236.75%;38.01%;1.157;0.329;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
373.33%;233.75%;46.52%;1.16;0.401;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
372.28%;232.71%;43.64%;1.191;0.366;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
368.65%;229.08%;28.31%;1.175;0.241;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
365.96%;226.38%;52.14%;1.267;0.411;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.3}
365.49%;225.91%;48.08%;1.218;0.395;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.4}
360.90%;221.32%;41.92%;1.147;0.366;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
356.85%;217.28%;29.56%;1.133;0.261;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
355.24%;215.66%;37.93%;1.152;0.329;{'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
352.73%;213.15%;40.83%;1.179;0.346;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
352.42%;212.84%;59.90%;1.12;0.535;{'fcfy': 0.2, 'roic_wacc': 0.8}
352.27%;212.70%;19.03%;1.124;0.169;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
351.73%;212.15%;55.84%;1.128;0.495;{'fcfy': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
351.70%;212.13%;42.88%;1.155;0.371;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
349.45%;209.87%;65.16%;1.121;0.581;{'fcfy': 0.3, 'roic_wacc': 0.7}
348.40%;208.83%;24.83%;1.081;0.23;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
347.84%;208.27%;25.12%;1.065;0.236;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
346.24%;206.66%;40.66%;1.148;0.354;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
345.77%;206.19%;52.92%;1.187;0.446;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
345.68%;206.11%;34.91%;1.154;0.303;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
345.16%;205.59%;32.20%;1.073;0.3;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
