10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
438.43%;298.86%;59.51%;1.407;0.423;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
417.75%;278.17%;66.45%;1.286;0.517;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
414.71%;275.14%;55.93%;1.213;0.461;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
413.31%;273.74%;61.02%;1.249;0.488;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
399.86%;260.28%;48.06%;1.178;0.408;{'roic_wacc': 0.5, 'revenue_growth': 0.5}
398.62%;259.04%;42.30%;1.261;0.335;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
395.73%;256.15%;48.02%;1.288;0.373;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.4}
390.49%;250.91%;51.09%;1.328;0.385;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.3}
390.13%;250.55%;52.49%;1.271;0.413;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
388.05%;248.47%;54.33%;1.17;0.464;{'roic_wacc': 0.6, 'revenue_growth': 0.4}
385.58%;246.01%;46.92%;1.199;0.391;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
383.33%;243.75%;44.40%;1.194;0.372;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
377.99%;238.42%;54.52%;1.196;0.456;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
377.69%;238.12%;47.64%;1.145;0.416;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
377.36%;237.78%;47.63%;1.147;0.415;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
375.93%;236.35%;55.89%;1.176;0.475;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
372.31%;232.74%;31.21%;1.214;0.257;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
371.86%;232.28%;65.38%;1.199;0.545;{'fcfy': 0.5, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
371.79%;232.21%;42.22%;1.202;0.351;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
368.38%;228.81%;61.24%;1.125;0.544;{'roic_wacc': 0.8, 'revenue_growth': 0.2}
367.61%;228.04%;37.52%;1.214;0.309;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.4}
366.55%;226.98%;65.89%;1.203;0.548;{'fcfy': 0.6, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
365.52%;225.95%;42.08%;1.187;0.354;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
365.52%;225.95%;64.20%;1.146;0.56;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
363.53%;223.95%;29.33%;1.158;0.253;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
362.63%;223.06%;38.96%;1.135;0.343;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
358.91%;219.33%;33.65%;1.093;0.308;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
358.04%;218.47%;57.64%;1.191;0.484;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
357.52%;217.94%;35.18%;1.179;0.298;{'roe': 0.3, 'revenue_growth': 0.7}
354.52%;214.95%;41.00%;1.173;0.35;{'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
354.19%;214.61%;44.57%;1.071;0.416;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
351.97%;212.39%;60.32%;1.136;0.531;{'fcfy': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
349.14%;209.56%;68.03%;1.136;0.599;{'fcfy': 0.3, 'roic_wacc': 0.7}
348.70%;209.13%;38.70%;1.192;0.325;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.3}
347.08%;207.51%;59.95%;1.122;0.534;{'fcfy': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
345.59%;206.01%;27.07%;1.136;0.238;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
344.36%;204.78%;62.36%;1.111;0.561;{'fcfy': 0.2, 'roic_wacc': 0.8}
343.37%;203.80%;53.57%;1.199;0.447;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
341.70%;202.12%;43.19%;1.081;0.399;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
340.61%;201.04%;38.70%;1.077;0.359;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
339.52%;199.94%;37.42%;1.137;0.329;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
338.98%;199.40%;58.49%;1.065;0.549;{'roic_wacc': 0.9, 'revenue_growth': 0.1}
334.21%;194.63%;54.38%;1.068;0.509;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
333.69%;194.12%;42.83%;1.029;0.416;{'roic_wacc': 0.7, 'revenue_growth': 0.3}
333.52%;193.94%;49.89%;1.076;0.464;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
331.66%;192.09%;54.28%;1.085;0.5;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
331.56%;191.98%;35.60%;1.1;0.324;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
331.37%;191.79%;31.90%;1.113;0.287;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
331.35%;191.78%;21.59%;1.012;0.213;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
330.69%;191.12%;53.52%;1.07;0.5;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
330.67%;191.09%;37.19%;1.089;0.342;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
330.33%;190.76%;50.41%;1.087;0.464;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
330.13%;190.56%;48.81%;1.094;0.446;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
330.12%;190.54%;60.50%;1.041;0.581;{'fcfy': 0.1, 'roic_wacc': 0.9}
329.73%;190.16%;66.22%;1.155;0.574;{'fcfy': 0.6, 'roic_wacc': 0.4}
329.64%;190.07%;60.82%;1.107;0.549;{'fcfy': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
329.43%;189.86%;42.45%;1.14;0.372;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.4}
328.76%;189.18%;53.69%;1.054;0.509;{'roic_wacc': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
328.65%;189.07%;19.66%;1.037;0.19;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
325.25%;185.68%;50.47%;1.036;0.487;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
324.43%;184.85%;32.65%;1.005;0.325;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
324.09%;184.52%;18.91%;1;0.189;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
323.98%;184.41%;10.86%;1.097;0.099;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
323.58%;184.01%;52.61%;1.02;0.516;{'fcfy': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
322.70%;183.13%;45.45%;1.165;0.39;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.3}
322.14%;182.56%;71.58%;1.18;0.607;{'fcfy': 0.7, 'roic_wacc': 0.3}
321.88%;182.31%;24.31%;1.032;0.236;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
319.37%;179.80%;53.49%;1.019;0.525;{'roe': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
319.16%;179.58%;52.36%;1.041;0.503;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.8}
317.75%;178.17%;59.14%;1.081;0.547;{'fcfy': 0.5, 'roic_wacc': 0.5}
317.74%;178.16%;31.31%;1.045;0.3;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
315.91%;176.33%;44.05%;1.174;0.375;{'roe': 0.2, 'fcfy': 0.6, 'revenue_growth': 0.2}
315.47%;175.90%;22.54%;0.999;0.226;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
314.28%;174.70%;4.09%;1.004;0.041;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
312.76%;173.18%;27.88%;0.947;0.294;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
311.88%;172.31%;33.26%;1.046;0.318;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.5}
311.54%;171.96%;10.90%;1.018;0.107;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
311.15%;171.58%;29.10%;0.984;0.296;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
310.61%;171.03%;51.13%;1.004;0.509;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
309.13%;169.56%;36.04%;1.023;0.352;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
308.94%;169.37%;40.22%;1.033;0.389;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
308.91%;169.34%;32.44%;0.978;0.332;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
307.63%;168.06%;36.00%;0.982;0.367;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
307.34%;167.77%;28.31%;0.978;0.289;{'roic_wacc': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
306.77%;167.20%;48.77%;1.033;0.472;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
306.59%;167.02%;9.97%;0.992;0.1;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
306.57%;167.00%;45.82%;0.962;0.476;{'roe': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
306.42%;166.84%;20.94%;1.058;0.198;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.5}
306.16%;166.59%;38.93%;1.099;0.354;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
306.15%;166.57%;48.90%;0.983;0.497;{'roe': 0.1, 'roic_wacc': 0.9}
305.60%;166.02%;18.41%;1.005;0.183;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
305.19%;165.61%;47.54%;1.007;0.472;{'roe': 0.2, 'roic_wacc': 0.8}
305.01%;165.43%;35.18%;1.108;0.318;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
304.92%;165.35%;26.26%;1.003;0.262;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
304.79%;165.22%;13.95%;1.019;0.137;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
304.66%;165.08%;48.33%;0.979;0.494;{'roic_wacc': 0.8, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
303.89%;164.31%;33.05%;1.04;0.318;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
303.41%;163.84%;15.80%;0.944;0.167;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
303.04%;163.47%;24.69%;0.986;0.25;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
302.77%;163.20%;19.79%;0.969;0.204;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
302.49%;162.91%;44.85%;1.088;0.412;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
302.47%;162.90%;38.80%;0.954;0.407;{'roe': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
302.18%;162.60%;5.39%;0.986;0.055;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
302.15%;162.58%;47.57%;1.009;0.471;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.6}
301.98%;162.41%;49.11%;1.011;0.486;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
301.74%;162.17%;26.61%;1.068;0.249;{'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
301.63%;162.06%;24.89%;0.974;0.255;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
301.19%;161.62%;10.31%;1.024;0.101;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
301.13%;161.56%;30.27%;1.041;0.291;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
300.15%;160.58%;47.20%;1.121;0.421;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
299.85%;160.28%;11.22%;0.998;0.113;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
299.31%;159.74%;28.30%;1.006;0.281;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
298.91%;159.34%;53.68%;1.142;0.47;{'roe': 0.2, 'fcfy': 0.7, 'revenue_growth': 0.1}
298.85%;159.28%;49.59%;0.966;0.513;{'roe': 0.3, 'dividend_yield': 0.7}
298.69%;159.11%;53.42%;1.022;0.523;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
298.06%;158.48%;25.83%;1.001;0.258;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
297.84%;158.27%;14.21%;0.993;0.143;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
297.31%;157.74%;14.69%;0.937;0.157;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
297.28%;157.70%;36.70%;0.977;0.376;{'roe': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
297.17%;157.60%;44.16%;0.981;0.45;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.7}
296.09%;156.52%;32.40%;1.031;0.314;{'roe': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
295.73%;156.16%;29.70%;0.989;0.3;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
295.32%;155.75%;24.73%;0.984;0.251;{'roe': 0.4, 'revenue_growth': 0.6}
294.74%;155.17%;7.77%;0.994;0.078;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
294.66%;155.09%;7.35%;0.929;0.079;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
294.60%;155.03%;54.20%;0.946;0.573;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
294.28%;154.70%;32.67%;0.944;0.346;{'roic_wacc': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
294.17%;154.60%;34.62%;0.961;0.36;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
294.08%;154.50%;23.38%;0.971;0.241;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
293.91%;154.33%;58.65%;0.993;0.591;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
293.05%;153.48%;26.47%;0.927;0.286;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
292.41%;152.83%;9.22%;1.027;0.09;{'fcfy': 0.5, 'revenue_growth': 0.5}
291.55%;151.97%;44.97%;1.015;0.443;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
291.38%;151.81%;8.66%;0.917;0.094;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
291.12%;151.54%;36.52%;1.023;0.357;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
291.09%;151.51%;33.29%;1.017;0.327;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
290.75%;151.18%;4.71%;0.985;0.048;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
