420.31571677286036 %;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
282.72254942913594 %;{'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
352.00002412272903 %;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
330.29306839947026 %;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
298.365871023002 %;{'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
277.6552992362772 %;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
355.354719287157 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
268.610084363634 %;{'roe': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.3}
167.37102524182578 %;{'roe': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
274.85518805777986 %;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
258.1772962336028 %;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
235.55035179561742 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
348.85471831203523 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
299.21995217419106 %;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
280.8145329754139 %;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
408.1014072183676 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
259.16532302332365 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
280.0201002389452 %;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
254.0104415903134 %;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
334.9075828846209 %;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
252.23867243888364 %;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
289.6336496919873 %;{'roe': 0.1, 'fcfy': 0.2, 'dividend_yield': 0.7}
419.15939918941507 %;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
