10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
497.102 %;357.527 %; 73.060 %;  1.480;  0.493;{'roic_wacc': 0.2, 'revenue_growth': 0.8}
494.665 %;355.090 %; 73.899 %;  1.442;  0.513;{'roic_wacc': 0.4, 'revenue_growth': 0.6}
491.259 %;351.684 %; 64.202 %;  1.476;  0.435;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
485.238 %;345.664 %; 64.452 %;  1.435;  0.449;{'roic_wacc': 0.3, 'revenue_growth': 0.7}
469.812 %;330.237 %; 65.053 %;  1.413;  0.460;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
456.475 %;316.900 %; 66.259 %;  1.351;  0.491;{'roic_wacc': 0.5, 'revenue_growth': 0.5}
450.737 %;311.162 %; 61.236 %;  1.379;  0.444;{'roic_wacc': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
440.260 %;300.685 %; 60.328 %;  1.341;  0.450;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
434.132 %;294.558 %; 60.468 %;  1.326;  0.456;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
420.691 %;281.116 %; 53.664 %;  1.313;  0.409;{'roic_wacc': 0.1, 'revenue_growth': 0.8, 'dividend_yield': 0.1}
419.777 %;280.202 %; 63.704 %;  1.344;  0.474;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.4}
419.199 %;279.625 %; 73.211 %;  1.440;  0.508;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.4}
418.059 %;278.484 %; 58.002 %;  1.303;  0.445;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
416.434 %;276.859 %; 54.897 %;  1.298;  0.423;{'roic_wacc': 0.1, 'revenue_growth': 0.9}
416.104 %;276.529 %; 55.845 %;  1.286;  0.434;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
413.298 %;273.723 %; 58.290 %;  1.270;  0.459;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
409.978 %;270.403 %; 53.520 %;  1.268;  0.422;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.5}
409.953 %;270.378 %; 50.778 %;  1.239;  0.410;{'roic_wacc': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
404.613 %;265.038 %; 51.959 %;  1.234;  0.421;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.5}
403.750 %;264.176 %; 49.154 %;  1.226;  0.401;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
403.236 %;263.662 %; 51.213 %;  1.225;  0.418;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
402.454 %;262.879 %; 45.569 %;  1.242;  0.367;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
393.301 %;253.726 %; 53.824 %;  1.217;  0.442;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
392.613 %;253.038 %; 54.187 %;  1.193;  0.454;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
391.913 %;252.338 %; 48.713 %;  1.221;  0.399;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
389.355 %;249.781 %; 50.115 %;  1.178;  0.426;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
389.305 %;249.730 %; 58.400 %;  1.243;  0.470;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
388.975 %;249.401 %; 52.495 %;  1.202;  0.437;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
387.381 %;247.806 %; 48.025 %;  1.198;  0.401;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.5}
386.617 %;247.042 %; 49.671 %;  1.211;  0.410;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
385.989 %;246.414 %; 51.076 %;  1.170;  0.437;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
385.877 %;246.302 %; 51.515 %;  1.170;  0.440;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
385.763 %;246.188 %; 48.222 %;  1.180;  0.409;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
384.487 %;244.913 %; 49.692 %;  1.205;  0.412;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
383.879 %;244.304 %; 65.776 %;  1.347;  0.488;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
383.067 %;243.492 %; 46.180 %;  1.264;  0.365;{'roe': 0.3, 'revenue_growth': 0.7}
381.549 %;241.974 %; 46.555 %;  1.151;  0.405;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
380.976 %;241.402 %; 50.673 %;  1.199;  0.423;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
380.664 %;241.089 %; 49.739 %;  1.190;  0.418;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
380.373 %;240.798 %; 47.241 %;  1.174;  0.402;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
380.237 %;240.663 %; 52.591 %;  1.201;  0.438;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
379.015 %;239.440 %; 53.090 %;  1.209;  0.439;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.4}
378.946 %;239.371 %; 48.557 %;  1.159;  0.419;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
378.884 %;239.309 %; 53.297 %;  1.172;  0.455;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
377.839 %;238.264 %; 49.142 %;  1.163;  0.423;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
376.780 %;237.206 %; 48.220 %;  1.168;  0.413;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
376.011 %;236.436 %; 48.974 %;  1.141;  0.429;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
375.735 %;236.160 %; 45.921 %;  1.150;  0.399;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
375.684 %;236.109 %; 46.556 %;  1.163;  0.400;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
374.926 %;235.351 %; 45.982 %;  1.146;  0.401;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
373.728 %;234.154 %; 46.781 %;  1.146;  0.408;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
373.237 %;233.662 %; 49.016 %;  1.142;  0.429;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
372.966 %;233.391 %; 46.963 %;  1.130;  0.416;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
372.225 %;232.651 %; 48.549 %;  1.177;  0.412;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
372.134 %;232.559 %; 49.023 %;  1.126;  0.435;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
371.856 %;232.281 %; 46.620 %;  1.150;  0.405;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
371.455 %;231.880 %; 65.680 %;  1.307;  0.503;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
371.101 %;231.526 %; 45.736 %;  1.113;  0.411;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
370.502 %;230.927 %; 51.207 %;  1.190;  0.430;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.6}
369.695 %;230.121 %; 45.217 %;  1.121;  0.403;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
368.711 %;229.136 %; 37.881 %;  1.158;  0.327;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
367.140 %;227.565 %; 47.252 %;  1.111;  0.425;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
365.156 %;225.582 %; 47.824 %;  1.135;  0.421;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
365.107 %;225.533 %; 43.889 %;  1.108;  0.396;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
365.046 %;225.471 %; 46.296 %;  1.210;  0.383;{'fcfy': 0.4, 'revenue_growth': 0.6}
364.309 %;224.735 %; 56.270 %;  1.240;  0.454;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
364.082 %;224.508 %; 44.482 %;  1.082;  0.411;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
363.868 %;224.293 %; 44.163 %;  1.116;  0.396;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
363.814 %;224.239 %; 46.555 %;  1.113;  0.418;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
363.644 %;224.070 %; 47.809 %;  1.125;  0.425;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
362.503 %;222.928 %; 44.459 %;  1.138;  0.391;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
360.550 %;220.975 %; 43.713 %;  1.122;  0.390;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
359.797 %;220.222 %; 44.194 %;  1.136;  0.389;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
358.879 %;219.304 %; 42.458 %;  1.099;  0.386;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
358.791 %;219.216 %; 43.388 %;  1.093;  0.397;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
358.539 %;218.965 %; 46.803 %;  1.129;  0.415;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
357.612 %;218.037 %; 46.304 %;  1.143;  0.405;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
357.414 %;217.839 %; 43.782 %;  1.078;  0.406;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
357.157 %;217.582 %; 41.547 %;  1.109;  0.375;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
357.155 %;217.581 %; 50.152 %;  1.166;  0.430;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.6}
354.700 %;215.125 %; 57.464 %;  1.063;  0.541;{'roe': 0.1, 'roic_wacc': 0.9}
354.194 %;214.619 %; 42.618 %;  1.117;  0.381;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
354.110 %;214.535 %; 43.507 %;  1.092;  0.399;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
353.495 %;213.921 %; 58.820 %;  1.233;  0.477;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.3}
352.895 %;213.320 %; 42.683 %;  1.126;  0.379;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
351.649 %;212.074 %; 43.350 %;  1.113;  0.390;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
351.227 %;211.652 %; 41.594 %;  1.097;  0.379;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
351.110 %;211.535 %; 41.698 %;  1.104;  0.378;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
350.905 %;211.331 %; 45.525 %;  1.098;  0.415;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
350.559 %;210.984 %; 40.298 %;  1.091;  0.369;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
350.426 %;210.852 %; 53.691 %;  1.200;  0.448;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.7}
349.818 %;210.243 %; 43.174 %;  1.075;  0.401;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
349.777 %;210.203 %; 32.624 %;  1.098;  0.297;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
349.767 %;210.193 %; 41.047 %;  1.062;  0.387;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
348.961 %;209.386 %; 44.274 %;  1.087;  0.407;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
348.799 %;209.224 %; 50.904 %;  1.136;  0.448;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
347.565 %;207.991 %; 36.749 %;  1.114;  0.330;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
