10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
377.173 %;237.598 %; 46.924 %;  1.181;  0.397;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
373.893 %;234.318 %; 43.112 %;  1.136;  0.380;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
354.149 %;214.575 %; 45.738 %;  1.127;  0.406;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
350.719 %;211.144 %; 41.995 %;  1.127;  0.373;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
342.782 %;203.207 %; 51.886 %;  1.202;  0.432;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
303.450 %;163.875 %; 45.397 %;  1.057;  0.430;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
302.189 %;162.614 %; 53.746 %;  1.165;  0.461;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.3}
300.665 %;161.090 %; 37.946 %;  1.029;  0.369;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
297.187 %;157.612 %; 49.637 %;  1.113;  0.446;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
296.833 %;157.258 %; 46.579 %;  1.075;  0.433;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
295.706 %;156.131 %; 32.456 %;  1.012;  0.321;{'roe': 0.4, 'revenue_growth': 0.6}
292.336 %;152.762 %; 28.819 %;  0.956;  0.301;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
291.015 %;151.440 %; 30.355 %;  0.954;  0.318;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
287.951 %;148.377 %; 35.189 %;  1.004;  0.351;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
271.858 %;132.283 %; 41.921 %;  0.982;  0.427;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
269.084 %;129.509 %; 45.976 %;  1.013;  0.454;{'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
261.409 %;121.834 %; 24.498 %;  0.869;  0.282;{'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
258.594 %;119.019 %; 38.697 %;  0.985;  0.393;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
255.740 %;116.165 %; 31.242 %;  0.921;  0.339;{'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
